id,dataset,split,image_path,question,correct_answer,question_type,option_a,option_b,option_c,option_d,correct_label,language,options
pathvqa_000131,pathvqa,train,pathvqa_000131.jpg,what is present?,gastrointestinal,What,no hyperplasia,close-up of bullous skin lesions and peeling of skin,Yes,gastrointestinal,D,english,A) no hyperplasia B) close-up of bullous skin lesions and peeling of skin C) Yes D) gastrointestinal
pathvqa_000136,pathvqa,train,pathvqa_000136.jpg,is serous cystadenoma present?,no,Yes/No,no,endothelial injury,endocrine,yes,A,english,A) no B) endothelial injury C) endocrine D) yes
pathvqa_000142,pathvqa,train,pathvqa_000142.jpg,what is present?,gastrointestinal,What,gastrointestinal,no,atrophy,bilateral,A,english,A) gastrointestinal B) no C) atrophy D) bilateral
pathvqa_000145,pathvqa,train,pathvqa_000145.jpg,what is present?,gastrointestinal,What,gastrointestinal,lung,yes,hyperintensity of the left basal ganglia,A,english,A) gastrointestinal B) lung C) yes D) hyperintensity of the left basal ganglia
pathvqa_000153,pathvqa,train,pathvqa_000153.jpg,is villous adenoma present?,yes,Yes/No,Head,no,yes,melanoma,C,english,A) Head B) no C) yes D) melanoma
pathvqa_000156,pathvqa,train,pathvqa_000156.jpg,what is present?,gastrointestinal,What,Heart,often with a clear cytoplasmic halo,gastrointestinal,2,C,english,A) Heart B) often with a clear cytoplasmic halo C) gastrointestinal D) 2
pathvqa_000169,pathvqa,train,pathvqa_000169.jpg,what is present?,whipples disease,What,one,due to nephrolithiasis,whipples disease,no,C,english,A) one B) due to nephrolithiasis C) whipples disease D) no
pathvqa_000189,pathvqa,train,pathvqa_000189.jpg,what is present?,stomach,What,no,hematologic,Lung,stomach,D,english,A) no B) hematologic C) Lung D) stomach
pathvqa_000196,pathvqa,train,pathvqa_000196.jpg,is metastatic carcinoma breast present?,no,Yes/No,gastrointestinal system,no,Brain,endocrine system,B,english,A) gastrointestinal system B) no C) Brain D) endocrine system
pathvqa_000212,pathvqa,train,pathvqa_000212.jpg,is endometritis postpartum present?,no,Yes/No,Brain,normal pancreas,hepatobiliary,no,D,english,A) Brain B) normal pancreas C) hepatobiliary D) no
pathvqa_000222,pathvqa,train,pathvqa_000222.jpg,is rheumatoid arthritis present?,yes,Yes/No,no,yes,T1,Yes,B,english,A) no B) yes C) T1 D) Yes
pathvqa_000224,pathvqa,train,pathvqa_000224.jpg,"is bone , calvarium present?",yes,Yes/No,abdomen,yes,thick with prominent vesicular nuclei,Lung Cancer,B,english,A) abdomen B) yes C) thick with prominent vesicular nuclei D) Lung Cancer
pathvqa_000253,pathvqa,train,pathvqa_000253.jpg,does absence of palpebral fissure cleft palate see head see protocol for details?,yes,Yes/No,endocrine system,yes,no,Yes,B,english,A) endocrine system B) yes C) no D) Yes
pathvqa_000269,pathvqa,train,pathvqa_000269.jpg,what is present?,bone,What,gastrointestinal,lung,yes,bone,D,english,A) gastrointestinal B) lung C) yes D) bone
pathvqa_000277,pathvqa,train,pathvqa_000277.jpg,what is present?,bone,What,No,urinary,Chest,bone,D,english,A) No B) urinary C) Chest D) bone
pathvqa_000278,pathvqa,train,pathvqa_000278.jpg,"is bone, calvarium present?",yes,Yes/No,2,gastrointestinal,yes,2,C,english,A) 2 B) gastrointestinal C) yes D) 2
pathvqa_000295,pathvqa,train,pathvqa_000295.jpg,"is bone, skull present?",yes,Yes/No,endocrine system,Yes,yes,2,C,english,A) endocrine system B) Yes C) yes D) 2
pathvqa_000297,pathvqa,train,pathvqa_000297.jpg,is conjoined twins cephalothoracopagus janiceps present?,yes,Yes/No,a thrombosed artery,marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces,no,yes,D,english,A) a thrombosed artery B) marked elastin fragmentation and areas devoid of elastin that resemble cystic spaces C) no D) yes
pathvqa_000300,pathvqa,train,pathvqa_000300.jpg,why does this image show jaundice?,due to terminal alcoholic cirrhosis with shock and typical facial appearance of edema due to generalized capillary permeability increase or shock,Object/Condition presence,Chest,due to terminal alcoholic cirrhosis with shock and typical facial appearance of edema due to generalized capillary permeability increase or shock,skin,no,B,english,A) Chest B) due to terminal alcoholic cirrhosis with shock and typical facial appearance of edema due to generalized capillary permeability increase or shock C) skin D) no
pathvqa_000301,pathvqa,train,pathvqa_000301.jpg,why does this image show jaundice due to terminal alcoholic cirrhosis with shock and typical facial appearance of edema?,due generalized capillary permeability increase or,Object/Condition presence,three,due generalized capillary permeability increase or,fibrous plaques,Lung,B,english,A) three B) due generalized capillary permeability increase or C) fibrous plaques D) Lung
pathvqa_000351,pathvqa,train,pathvqa_000351.jpg,is lesion seen on surface right petrous bone?,yes,Yes/No,yes,thymus,gastrointestinal,no,A,english,A) yes B) thymus C) gastrointestinal D) no
pathvqa_000356,pathvqa,train,pathvqa_000356.jpg,what seen on surface right petrous bone?,lesion,What,oral,yes,lesion,vasculature,C,english,A) oral B) yes C) lesion D) vasculature
pathvqa_000359,pathvqa,train,pathvqa_000359.jpg,how is lesion seen on surface petrous bone?,right,How,meningococcemia,yes,2,right,D,english,A) meningococcemia B) yes C) 2 D) right
pathvqa_000361,pathvqa,train,pathvqa_000361.jpg,how is lesion seen on surface right bone?,petrous,How,Lung,gastrointestinal,yes,petrous,D,english,A) Lung B) gastrointestinal C) yes D) petrous
pathvqa_000363,pathvqa,train,pathvqa_000363.jpg,does this image show left side lesion?,yes,Yes/No,yes,scrotal,gastrointestinal system,Yes,A,english,A) yes B) scrotal C) gastrointestinal system D) Yes
pathvqa_000373,pathvqa,train,pathvqa_000373.jpg,what is present?,cleft palate,What,Brain,cleft palate,"Stomach, Colon",yes,B,english,"A) Brain B) cleft palate C) Stomach, Colon D) yes"
pathvqa_000377,pathvqa,train,pathvqa_000377.jpg,what is present?,cephalohematoma,What,cephalohematoma,Black,external view of bilateral cystic ovarian tumors with uterus slide labeled cystadenocarcinoma malignancy,cardiovascular,A,english,A) cephalohematoma B) Black C) external view of bilateral cystic ovarian tumors with uterus slide labeled cystadenocarcinoma malignancy D) cardiovascular
pathvqa_000378,pathvqa,train,pathvqa_000378.jpg,where does this image show skull cap with obvious metastatic lesion seen on?,inner table prostate primary,Where,inner table prostate primary,Chest,2,Heart,A,english,A) inner table prostate primary B) Chest C) 2 D) Heart
pathvqa_000388,pathvqa,train,pathvqa_000388.jpg,what is present?,metastatic carcinoma,What,metastatic carcinoma,hematologic,histologic appearance,muscle,A,english,A) metastatic carcinoma B) hematologic C) histologic appearance D) muscle
pathvqa_000389,pathvqa,train,pathvqa_000389.jpg,how is skull cap with obvious metastatic lesion seen on table prostate primary?,inner,How,capillary,parathyroid,inner,well demarcated black tissue great and second toe and lateral aspect of small toe,C,english,A) capillary B) parathyroid C) inner D) well demarcated black tissue great and second toe and lateral aspect of small toe
pathvqa_000396,pathvqa,train,pathvqa_000396.jpg,is metastatic carcinoma present?,yes,Yes/No,yes,Lung,chest x ray,joints,A,english,A) yes B) Lung C) chest x ray D) joints
pathvqa_000410,pathvqa,train,pathvqa_000410.jpg,is lymphangiomatosis present?,no,Yes/No,no,coronary artery anomalous origin left from pulmonary artery,yes,liver,A,english,A) no B) coronary artery anomalous origin left from pulmonary artery C) yes D) liver
pathvqa_000425,pathvqa,train,pathvqa_000425.jpg,what does this image show?,view of low set ears,What,gastrointestinal,nuclear and cellular pleomorphism and loss of normal maturation,"Left Lung, Right",view of low set ears,D,english,"A) gastrointestinal B) nuclear and cellular pleomorphism and loss of normal maturation C) Left Lung, Right D) view of low set ears"
pathvqa_000430,pathvqa,train,pathvqa_000430.jpg,is potters facies present?,yes,Yes/No,2,heart,endocrine,yes,D,english,A) 2 B) heart C) endocrine D) yes
pathvqa_000438,pathvqa,train,pathvqa_000438.jpg,what does this image show?,view of head with scalp retracted to show massive fractures,What,no,Right,yes,view of head with scalp retracted to show massive fractures,D,english,A) no B) Right C) yes D) view of head with scalp retracted to show massive fractures
pathvqa_000446,pathvqa,train,pathvqa_000446.jpg,how is view of head with scalp retracted to show fractures?,massive,How,massive,no,metastatic grossly from most primary central nervous system tumors by their and well-demarcated margins,brain,A,english,A) massive B) no C) metastatic grossly from most primary central nervous system tumors by their and well-demarcated margins D) brain
pathvqa_000452,pathvqa,train,pathvqa_000452.jpg,what is present?,bone,What,bone,yes,3,an intranuclear inclusion in a cortical neuron,A,english,A) bone B) yes C) 3 D) an intranuclear inclusion in a cortical neuron
pathvqa_000470,pathvqa,train,pathvqa_000470.jpg,was side showing patency right side not patent?,yes,Object/Condition presence,Yes,due to immobilization cast,very good example,yes,D,english,A) Yes B) due to immobilization cast C) very good example D) yes
pathvqa_000471,pathvqa,train,pathvqa_000471.jpg,"what include flat epithelial atypia, adh, and dcis, all of which share certain genomic events with invasive er-positive carcinomas, such gains of chromosome 1, losses of chromosome 16, and mutations of pik3ca the gene encoding pi3k?",morphologically recognized precursor lesions,What,lung,morphologically recognized precursor lesions,No,Chest,B,english,A) lung B) morphologically recognized precursor lesions C) No D) Chest
pathvqa_000481,pathvqa,train,pathvqa_000481.jpg,what does this image show?,view of middle ear areas with obvious hemorrhage in under-lying tissue,What,urinary,Yes,endocrine system,view of middle ear areas with obvious hemorrhage in under-lying tissue,D,english,A) urinary B) Yes C) endocrine system D) view of middle ear areas with obvious hemorrhage in under-lying tissue
pathvqa_000496,pathvqa,train,pathvqa_000496.jpg,how does this image show skull cap?,with obvious metastatic lesions primary in pancreas,How,with obvious metastatic lesions primary in pancreas,no,Pelvic Cavity,by the tumour leaving a thin strip of compressed renal tissue at lower end,A,english,A) with obvious metastatic lesions primary in pancreas B) no C) Pelvic Cavity D) by the tumour leaving a thin strip of compressed renal tissue at lower end
pathvqa_000503,pathvqa,train,pathvqa_000503.jpg,is metastatic pancreas carcinoma present?,yes,Yes/No,yes,this partially fixed gross,no,primary biliary cirrhosis,A,english,A) yes B) this partially fixed gross C) no D) primary biliary cirrhosis
pathvqa_000505,pathvqa,train,pathvqa_000505.jpg,is eye present?,no,Yes/No,no,Liver,thyroid,"5.6cm focal, predominantly hypodense",A,english,"A) no B) Liver C) thyroid D) 5.6cm focal, predominantly hypodense"
pathvqa_000527,pathvqa,train,pathvqa_000527.jpg,is myoma lesion present?,no,Yes/No,no,yes,natomical subdivisions of the stomach,Yes,A,english,A) no B) yes C) natomical subdivisions of the stomach D) Yes
pathvqa_000564,pathvqa,train,pathvqa_000564.jpg,what is fractures brain which is slide and close-up view of these fractures?,fractures,What,malignant melanoma,fractures,Yes,Yes,B,english,A) malignant melanoma B) fractures C) Yes D) Yes
pathvqa_000568,pathvqa,train,pathvqa_000568.jpg,how does this image show head tilted?,with mouth,How,with mouth,1,oral,joints,A,english,A) with mouth B) 1 C) oral D) joints
pathvqa_000582,pathvqa,train,pathvqa_000582.jpg,"what is atypical apocrine adenosis, which shares features with apocrine dcis?",a possible precursor lesion,What,a possible precursor lesion,same,Head,female reproductive system,A,english,A) a possible precursor lesion B) same C) Head D) female reproductive system
pathvqa_000584,pathvqa,train,pathvqa_000584.jpg,how is head tilted with mouth opened to show large defect very illustration of this lesion?,good,How,good,Brain,Black,extremities,A,english,A) good B) Brain C) Black D) extremities
pathvqa_000595,pathvqa,train,pathvqa_000595.jpg,"is bone, calvarium present?",yes,Yes/No,yes,endocrine system,gastrointestinal,Chest,A,english,A) yes B) endocrine system C) gastrointestinal D) Chest
pathvqa_000620,pathvqa,train,pathvqa_000620.jpg,what is present?,bone,What,"Liver, Left",yes,Irregular,bone,D,english,"A) Liver, Left B) yes C) Irregular D) bone"
pathvqa_000629,pathvqa,train,pathvqa_000629.jpg,what is present?,bone,What,lateral view of body with renal facies no neck and a barely seen vascular mass extruding from occipital region of skull arms and legs appear too short,bone,with metastatic lesions from breast,the majority of triple-negative cancers,B,english,A) lateral view of body with renal facies no neck and a barely seen vascular mass extruding from occipital region of skull arms and legs appear too short B) bone C) with metastatic lesions from breast D) the majority of triple-negative cancers
pathvqa_000635,pathvqa,train,pathvqa_000635.jpg,what does this image show?,dr garcia tumors b6,What,dr garcia tumors b6,pulmonary nodules,no,no,A,english,A) dr garcia tumors b6 B) pulmonary nodules C) no D) no
pathvqa_000652,pathvqa,train,pathvqa_000652.jpg,is multiple myeloma present?,yes,Yes/No,oral,0,Chest,yes,D,english,A) oral B) 0 C) Chest D) yes
pathvqa_000659,pathvqa,train,pathvqa_000659.jpg,what are classified as basal-like by gene expression profiling?,the majority of triple-negative cancers,What,Lung,the majority of triple-negative cancers,yes,with multiple lesions,B,english,A) Lung B) the majority of triple-negative cancers C) yes D) with multiple lesions
pathvqa_000662,pathvqa,train,pathvqa_000662.jpg,is colon present?,no,Yes/No,Chest,yes,no,X-Ray,C,english,A) Chest B) yes C) no D) X-Ray
pathvqa_000668,pathvqa,train,pathvqa_000668.jpg,what grew to outside?,tumor,What,Lung,Chest,endocrine system,tumor,D,english,A) Lung B) Chest C) endocrine system D) tumor
pathvqa_000699,pathvqa,train,pathvqa_000699.jpg,why does this image show stenosis of foramen magnum?,due to subluxation atlas vertebra case 31,Object/Condition presence,right,no,due to subluxation atlas vertebra case 31,Brain,C,english,A) right B) no C) due to subluxation atlas vertebra case 31 D) Brain
pathvqa_000703,pathvqa,train,pathvqa_000703.jpg,what is present?,bone,What,gastrointestinal,wrights excellent,bone,no,C,english,A) gastrointestinal B) wrights excellent C) bone D) no
pathvqa_000704,pathvqa,train,pathvqa_000704.jpg,what is associated with dcis?,mammographic detection of calcifications,What,mammographic detection of calcifications,due to immobilization cast,normal breast,bare smudged nuclei,A,english,A) mammographic detection of calcifications B) due to immobilization cast C) normal breast D) bare smudged nuclei
pathvqa_000706,pathvqa,train,pathvqa_000706.jpg,is marfans syndrome present?,no,Yes/No,by metastatic lung carcinoma,oral,vasculature,no,D,english,A) by metastatic lung carcinoma B) oral C) vasculature D) no
pathvqa_000743,pathvqa,train,pathvqa_000743.jpg,what is present?,herpes zoster,What,No,liver,due to ruptured aneurysm,herpes zoster,D,english,A) No B) liver C) due to ruptured aneurysm D) herpes zoster
pathvqa_000763,pathvqa,train,pathvqa_000763.jpg,what is present?,metastatic carcinoma x-ray,What,metastatic carcinoma x-ray,skin,yes,Upper Right,A,english,A) metastatic carcinoma x-ray B) skin C) yes D) Upper Right
pathvqa_000770,pathvqa,train,pathvqa_000770.jpg,what are lobular carcinomas composed of?,noncohesive tumor cells that invade as linear cords of cells and induce little stromal response,What,cardiovascular,due to acetaminophen toxicity,suppurative diseases,noncohesive tumor cells that invade as linear cords of cells and induce little stromal response,D,english,A) cardiovascular B) due to acetaminophen toxicity C) suppurative diseases D) noncohesive tumor cells that invade as linear cords of cells and induce little stromal response
pathvqa_000776,pathvqa,train,pathvqa_000776.jpg,"is bone, skull present?",no,Yes/No,no,yes,Yes,gastrointestinal,A,english,A) no B) yes C) Yes D) gastrointestinal
pathvqa_000784,pathvqa,train,pathvqa_000784.jpg,what does this image show?,electron micrograph,What,urinary,electron micrograph,no,no,B,english,A) urinary B) electron micrograph C) no D) no
pathvqa_000785,pathvqa,train,pathvqa_000785.jpg,does this image show electron micrograph?,yes,Yes/No,no,hematologic,Much,yes,D,english,A) no B) hematologic C) Much D) yes
pathvqa_000827,pathvqa,train,pathvqa_000827.jpg,is hematologic present?,yes,Yes/No,yes,seminoma,coarse,Chest,A,english,A) yes B) seminoma C) coarse D) Chest
pathvqa_000862,pathvqa,train,pathvqa_000862.jpg,does this image show splenic infarct?,yes,Yes/No,urinary,with osteoblasts from a non-union,gastrointestinal,yes,D,english,A) urinary B) with osteoblasts from a non-union C) gastrointestinal D) yes
pathvqa_000869,pathvqa,train,pathvqa_000869.jpg,"why does this image show spleen, chronic congestion?",due to portal hypertension from cirrhosis hcv,Object/Condition presence,due to portal hypertension from cirrhosis hcv,Yes,Lower Right,no,A,english,A) due to portal hypertension from cirrhosis hcv B) Yes C) Lower Right D) no
pathvqa_000885,pathvqa,train,pathvqa_000885.jpg,is iron present?,no,Yes/No,no,yes,lesion,vasculitis foreign body,A,english,A) no B) yes C) lesion D) vasculitis foreign body
pathvqa_000893,pathvqa,train,pathvqa_000893.jpg,what is populated by several distinct cell types that express different peptide hormones?,the normal anterior pituitary gland,What,Lung,with mouth,the normal anterior pituitary gland,yes,C,english,A) Lung B) with mouth C) the normal anterior pituitary gland D) yes
pathvqa_000901,pathvqa,train,pathvqa_000901.jpg,what is present?,hematologic,What,"Medical treatment, surgical treatment",gastrointestinal,Lower Right Lobe,hematologic,D,english,"A) Medical treatment, surgical treatment B) gastrointestinal C) Lower Right Lobe D) hematologic"
pathvqa_000906,pathvqa,train,pathvqa_000906.jpg,what is present?,hematologic,What,hematologic,yes,yes,3,A,english,A) hematologic B) yes C) yes D) 3
pathvqa_000922,pathvqa,train,pathvqa_000922.jpg,where is this part in?,spleen,Where,spleen,thyroid,oral,no,A,english,A) spleen B) thyroid C) oral D) no
pathvqa_000949,pathvqa,train,pathvqa_000949.jpg,what is present?,hematologic,What,Right,"Colon, Small Bowel",hematologic,due to ruptured saccular aneurysm thrombosis of right middle cerebral artery,C,english,"A) Right B) Colon, Small Bowel C) hematologic D) due to ruptured saccular aneurysm thrombosis of right middle cerebral artery"
pathvqa_000965,pathvqa,train,pathvqa_000965.jpg,where is this part in?,spleen,Where,hyperplasia,no,Yes,spleen,D,english,A) hyperplasia B) no C) Yes D) spleen
pathvqa_000976,pathvqa,train,pathvqa_000976.jpg,what is present?,spleen,What,spleen,epididymis,Yes,2,A,english,A) spleen B) epididymis C) Yes D) 2
pathvqa_000981,pathvqa,train,pathvqa_000981.jpg,what contrasts with the admixture of cells seen in the normal anterior pituitary gland?,the monomorphism of these cells,What,no,petechiae,high excellent atrophy due to steroid therapy,the monomorphism of these cells,D,english,A) no B) petechiae C) high excellent atrophy due to steroid therapy D) the monomorphism of these cells
pathvqa_000982,pathvqa,train,pathvqa_000982.jpg,is dysplastic present?,no,Yes/No,embolus,gastrointestinal,no,No,C,english,A) embolus B) gastrointestinal C) no D) No
pathvqa_000989,pathvqa,train,pathvqa_000989.jpg,what is present?,hematologic,What,2,Yes,hematologic,thymus,C,english,A) 2 B) Yes C) hematologic D) thymus
pathvqa_000992,pathvqa,train,pathvqa_000992.jpg,what does the monomorphism of these cells contrast with?,the admixture of cells seen in the normal anterior pituitary gland,What,no,0,no,the admixture of cells seen in the normal anterior pituitary gland,D,english,A) no B) 0 C) no D) the admixture of cells seen in the normal anterior pituitary gland
pathvqa_001000,pathvqa,train,pathvqa_001000.jpg,what is present?,hematologic,What,hematologic,gastrointestinal,Atelectasis,2,A,english,A) hematologic B) gastrointestinal C) Atelectasis D) 2
pathvqa_001004,pathvqa,train,pathvqa_001004.jpg,how does the monomorphism of these cells contrast?,with admixture of cells seen in the normal anterior pituitary gland,How,cardiovascular,with admixture of cells seen in the normal anterior pituitary gland,due to steroid therapy,yes,B,english,A) cardiovascular B) with admixture of cells seen in the normal anterior pituitary gland C) due to steroid therapy D) yes
pathvqa_001014,pathvqa,train,pathvqa_001014.jpg,where is this part in?,spleen,Where,6,Black,yes,spleen,D,english,A) 6 B) Black C) yes D) spleen
pathvqa_001055,pathvqa,train,pathvqa_001055.jpg,what is present?,hematologic,What,cardiovascular,no,yes,hematologic,D,english,A) cardiovascular B) no C) yes D) hematologic
pathvqa_001088,pathvqa,train,pathvqa_001088.jpg,how does normal see sides this case?,other,How,with distinct borders,2,yes,other,D,english,A) with distinct borders B) 2 C) yes D) other
pathvqa_001091,pathvqa,train,pathvqa_001091.jpg,what does this image show?,cut surface of spleen with an infarct several days of age excellent photo,What,no,Head,Upper Right Lung,cut surface of spleen with an infarct several days of age excellent photo,D,english,A) no B) Head C) Upper Right Lung D) cut surface of spleen with an infarct several days of age excellent photo
pathvqa_001101,pathvqa,train,pathvqa_001101.jpg,what does this image show?,cut surface of spleen with one large infarct classical embolus from nonbacterial endocarditis on mitral valve,What,1,nervous,cut surface of spleen with one large infarct classical embolus from nonbacterial endocarditis on mitral valve,Abdomen,C,english,A) 1 B) nervous C) cut surface of spleen with one large infarct classical embolus from nonbacterial endocarditis on mitral valve D) Abdomen
pathvqa_001108,pathvqa,train,pathvqa_001108.jpg,where is this part in?,spleen,Where,yes,yes,T2,spleen,D,english,A) yes B) yes C) T2 D) spleen
pathvqa_001109,pathvqa,train,pathvqa_001109.jpg,what is present?,hematologic,What,hematologic,Lower Right Lung,yes,yes,A,english,A) hematologic B) Lower Right Lung C) yes D) yes
pathvqa_001114,pathvqa,train,pathvqa_001114.jpg,how do the areas of white chalky deposits represent foci of fat necrosis?,with calcium soap formation (saponification),How,with blood clot,with calcium soap formation (saponification),anterior cerebrum,Yes,B,english,A) with blood clot B) with calcium soap formation (saponification) C) anterior cerebrum D) Yes
pathvqa_001123,pathvqa,train,pathvqa_001123.jpg,what is present?,hematologic,What,right,hematologic,endocrine system,2,B,english,A) right B) hematologic C) endocrine system D) 2
pathvqa_001142,pathvqa,train,pathvqa_001142.jpg,is tuberculosis present?,yes,Yes/No,inflammatory cells in the inter-stitium and between epithelial cells of the tubules tubulitis,A Little,Yes,yes,D,english,A) inflammatory cells in the inter-stitium and between epithelial cells of the tubules tubulitis B) A Little C) Yes D) yes
pathvqa_001150,pathvqa,train,pathvqa_001150.jpg,how is fixed tissue cut surface parenchyma with obvious granulomas?,congested,How,congested,yes,axial,yes,A,english,A) congested B) yes C) axial D) yes
pathvqa_001153,pathvqa,train,pathvqa_001153.jpg,is hematologic present?,yes,Yes/No,yes,with typical large nodes case which may have been a t-cell lymphoma,in the red pulp,a very large multilocular cyst,A,english,A) yes B) with typical large nodes case which may have been a t-cell lymphoma C) in the red pulp D) a very large multilocular cyst
pathvqa_001157,pathvqa,train,pathvqa_001157.jpg,is antitrypsin present?,no,Yes/No,large gland,no,oral,Heart,B,english,A) large gland B) no C) oral D) Heart
pathvqa_001163,pathvqa,train,pathvqa_001163.jpg,what is present?,hematologic,What,hematologic,extremities,stomach and esophagus,no,A,english,A) hematologic B) extremities C) stomach and esophagus D) no
pathvqa_001168,pathvqa,train,pathvqa_001168.jpg,is endometritis postpartum present?,no,Yes/No,yes,no,tissue factor,yes,B,english,A) yes B) no C) tissue factor D) yes
pathvqa_001172,pathvqa,train,pathvqa_001172.jpg,is there present?,no,Yes/No,a thrombosed artery,no,Atelectasis,yes,B,english,A) a thrombosed artery B) no C) Atelectasis D) yes
pathvqa_001183,pathvqa,train,pathvqa_001183.jpg,is child present?,no,Yes/No,yes,due,yes,no,D,english,A) yes B) due C) yes D) no
pathvqa_001204,pathvqa,train,pathvqa_001204.jpg,"how is a solitary, well-circumscribed nodule in this gross specimen?",visible,How,gross,visible,prostate,a close-up view of,B,english,A) gross B) visible C) prostate D) a close-up view of
pathvqa_001205,pathvqa,train,pathvqa_001205.jpg,where is this part in?,spleen,Where,spleen,Chest,liver,"Brain Edema, Brain Enhancing Tumor, Brain Non-enhancing Tumor",A,english,"A) spleen B) Chest C) liver D) Brain Edema, Brain Enhancing Tumor, Brain Non-enhancing Tumor"
pathvqa_001209,pathvqa,train,pathvqa_001209.jpg,how does this image show cut surface?,with typical healed granuloma,How,gastrointestinal,yes,with typical healed granuloma,"Right Lung, Lower Left",C,english,"A) gastrointestinal B) yes C) with typical healed granuloma D) Right Lung, Lower Left"
pathvqa_001216,pathvqa,train,pathvqa_001216.jpg,what is present?,spleen,What,prostate,yes,spleen,Spinal cord,C,english,A) prostate B) yes C) spleen D) Spinal cord
pathvqa_001226,pathvqa,train,pathvqa_001226.jpg,"what is seen with antibodies against various nuclear antigens, including sm and rnps?",a speckled pattern,What,no,Yes,a speckled pattern,"Brain embryonic tissue dysplasia, genetic factors, chemical factors",C,english,"A) no B) Yes C) a speckled pattern D) Brain embryonic tissue dysplasia, genetic factors, chemical factors"
